countyfips,periods,final_consumer_spending,average_consumer_spending,sd_consumer_spending,positive_consumer_spending,negative_consumer_spending,max_increase_consumer_spending,max_decrease_consumer_spending
47107,231,0.22,0.1668996883116883,0.16240018266537112,191,40,0.736,-0.316
47113,231,0.536,0.19962670995670995,0.23235637703376893,186,45,0.736,-0.398
47121,231,0.0012,0.05225359307359308,0.1357154408298569,158,73,0.439,-0.324
47123,231,0.107,0.16248961038961038,0.09692051651302676,216,15,0.451,-0.21
47129,231,0.346,0.23529367965367964,0.15960969851446855,203,28,0.56,-0.3
47141,231,0.382,0.2713825151515152,0.1840526962659914,205,26,0.592,-0.261
47143,231,0.277,0.06929664935064934,0.14322825149667193,162,69,0.394,-0.402
47145,231,0.325,0.2225448787878788,0.1290883920967841,213,18,0.438,-0.211
47147,231,-0.0242,-0.08233588744588745,0.11932479081891818,62,169,0.132,-0.472
47149,231,0.322,0.1475074025974026,0.20446639973399222,176,55,0.589,-0.408
47155,231,0.462,0.3173868831168831,0.14448637591792168,225,6,0.567,-0.201
47157,231,0.432,0.2262884632034632,0.16158139293446208,203,28,0.515,-0.309
47161,231,0.316,0.2109512987012987,0.12028343310123421,218,13,0.413,-0.235
47163,231,0.378,0.20055064935064934,0.11493017284236769,219,12,0.433,-0.204
47165,231,0.291,0.079694329004329,0.1672888196798396,172,59,0.337,-0.465
47167,231,0.395,0.18069236796536797,0.22015937981986677,191,40,0.734,-0.289
47171,231,0.349,0.1845089393939394,0.17356274928763737,191,40,0.678,-0.353
47173,231,0.299,0.1770752857142857,0.11008264777819046,217,14,0.419,-0.27
47179,231,0.335,0.19472448484848484,0.13064755681453588,214,17,0.426,-0.279
47187,231,0.0956,-0.012871411255411256,0.14084123552018377,131,100,0.23,-0.488
47189,231,0.272,0.1467848484848485,0.15589849992542804,182,49,0.496,-0.355
48001,231,0.231,0.03345549783549784,0.1547281007714437,133,98,0.432,-0.391
48005,231,0.525,0.14480051948051947,0.19191818947640915,180,51,0.632,-0.437
48007,231,0.0401,0.020005878787878788,0.1323281634465357,126,105,0.736,-0.301
48009,231,0.123,0.01304891774891775,0.14948720323346334,129,102,0.403,-0.528
48013,231,-0.0333,0.07901289220779222,0.15058376089243236,165,66,0.617,-0.377
48015,231,0.285,0.1805437922077922,0.13777756927513757,205,26,0.424,-0.281
48019,231,-0.101,0.08727566233766233,0.14382658991477054,173,58,0.414,-0.315
48021,231,0.144,0.12846796536796537,0.10263719074961429,209,22,0.349,-0.262
48027,231,0.147,0.15555024242424242,0.1293012672165016,204,27,0.423,-0.393
48029,231,-0.0773,0.03685095670995671,0.10496128207374057,141,90,0.282,-0.319
48031,231,-0.204,0.10658748917748918,0.32127364969516403,134,97,0.736,-0.601
48035,231,-0.0869,0.014675693506493507,0.09361869656225355,134,97,0.262,-0.311
48037,231,0.304,0.19680506926406927,0.15706703755160933,209,22,0.548,-0.307
48039,231,0.0542,0.024450519480519482,0.0980028531425325,169,62,0.296,-0.345
48041,231,0.171,0.12168844155844157,0.13595085310250846,189,42,0.396,-0.324
48049,231,0.355,0.21944809523809525,0.1079482062634046,223,8,0.436,-0.159
48051,231,0.183,0.08153593073593074,0.16459652762694404,165,66,0.442,-0.455
48053,231,0.122,0.10813868831168831,0.11462000359167068,191,40,0.337,-0.283
48055,231,0.0847,0.11310978787878788,0.12336205852570023,193,38,0.418,-0.291
48057,231,0.364,0.2365393116883117,0.22144927831497704,197,34,0.736,-0.378
48061,231,0.281,0.1570182251082251,0.10708448652658399,211,20,0.347,-0.266
48071,231,0.134,0.07215033333333333,0.10487981240496881,180,51,0.294,-0.302
48077,231,0.261,0.1696676103896104,0.20827408952931456,189,42,0.736,-0.417
48085,231,0.016,0.02528325974025974,0.09134737426021938,178,53,0.189,-0.374
48089,231,0.319,0.16107367965367966,0.12271643607312037,206,25,0.43,-0.227
48091,231,0.0459,0.030392597402597404,0.09075407216259627,175,56,0.254,-0.362
48097,231,0.212,0.14537670995670995,0.20900504305440104,169,62,0.736,-0.4
48099,231,0.445,0.451825670995671,0.21008607440420593,221,10,0.736,-0.245
48113,231,0.127,0.048772759307359304,0.10813653149548003,182,49,0.239,-0.374
48121,231,0.129,0.08427844155844155,0.10613845165711339,186,45,0.275,-0.35
48123,231,0.146,0.058276991341991345,0.13115035912927975,157,74,0.398,-0.333
48131,231,0.301,0.26571333333333336,0.1939693312976512,211,20,0.736,-0.355
48139,231,0.166,0.09800294372294373,0.11633364747846878,189,42,0.329,-0.355
48141,231,0.163,0.056455709956709954,0.11909626001665476,182,49,0.307,-0.373
48147,231,0.154,0.05655917748917749,0.1866866005990617,147,84,0.664,-0.512
48149,231,0.235,0.1264591341991342,0.1332490181451197,194,37,0.377,-0.352
48157,231,0.16,0.0691432683982684,0.11060290949190928,184,47,0.283,-0.388
48161,231,0.24,0.20390121212121212,0.12146264892444,217,14,0.514,-0.231
48165,231,0.173,0.06135870995670996,0.23283402480016016,143,88,0.736,-0.62
48167,231,0.248,0.10088032034632034,0.10614916110447548,195,36,0.319,-0.297
48171,231,0.146,-0.05686505627705628,0.1242523330694835,72,159,0.321,-0.446
48175,231,0.0617,0.12824584415584417,0.14849340343557338,193,38,0.633,-0.378
48177,231,0.0583,-0.1104562025974026,0.1303249066657696,40,191,0.258,-0.512
48181,231,-0.0667,-0.005999458874458875,0.1016801031380399,124,107,0.272,-0.419
48183,231,-0.0848,0.002751883116883117,0.11141660428722003,128,103,0.322,-0.385
48185,231,0.169,0.14980645021645023,0.15143294445841118,190,41,0.503,-0.331
48187,231,-0.0545,0.0046504329004329005,0.08873990120514412,127,104,0.326,-0.331
48189,231,0.39,0.20199359307359308,0.19780348353108873,190,41,0.736,-0.273
48199,231,0.22,0.12104757575757576,0.08374160434601981,211,20,0.295,-0.24
48201,231,0.189,0.07699266233766233,0.10610785194606112,192,39,0.3,-0.365
48203,231,0.137,0.22315670995670997,0.2031572284206578,195,36,0.736,-0.343
48209,231,0.195,0.1299400432900433,0.09788428306800458,210,21,0.293,-0.274
48213,231,0.052,0.04673030303030303,0.137101837952333,142,89,0.422,-0.348
48215,231,0.331,0.19467246753246753,0.13478799614166245,209,22,0.458,-0.247
48217,231,0.248,0.15543422077922078,0.11054914779208111,212,19,0.363,-0.306
