"GEO_ID","NAME","H8_001N",
"Geography","Geographic Area Name"," !!Total",
"0500000US13015","Bartow County, Georgia","107871",
"0500000US13017","Ben Hill County, Georgia","16913",
"0500000US13019","Berrien County, Georgia","17998",
"0500000US13021","Bibb County, Georgia","151176",
"0500000US13023","Bleckley County, Georgia","11411",
"0500000US13025","Brantley County, Georgia","17959",
"0500000US13027","Brooks County, Georgia","15924",
"0500000US13029","Bryan County, Georgia","44573",
"0500000US13031","Bulloch County, Georgia","73812",
"0500000US13033","Burke County, Georgia","24372",
"0500000US13035","Butts County, Georgia","22534",
"0500000US13037","Calhoun County, Georgia","3953",
"0500000US13039","Camden County, Georgia","52578",
"0500000US13043","Candler County, Georgia","10683",
"0500000US13045","Carroll County, Georgia","115808",
"0500000US13047","Catoosa County, Georgia","67481",
"0500000US13049","Charlton County, Georgia","10113",
"0500000US13051","Chatham County, Georgia","281312",
"0500000US13053","Chattahoochee County, Georgia","7367",
"0500000US13055","Chattooga County, Georgia","23740",
"0500000US13057","Cherokee County, Georgia","264365",
"0500000US13059","Clarke County, Georgia","118593",
"0500000US13061","Clay County, Georgia","2793",
"0500000US13063","Clayton County, Georgia","294347",
"0500000US13065","Clinch County, Georgia","6589",
"0500000US13067","Cobb County, Georgia","756415",
"0500000US13069","Coffee County, Georgia","39998",
"0500000US13071","Colquitt County, Georgia","45050",
"0500000US13073","Columbia County, Georgia","154787",
"0500000US13075","Cook County, Georgia","16976",
"0500000US13077","Coweta County, Georgia","145296",
"0500000US13079","Crawford County, Georgia","11973",
"0500000US13081","Crisp County, Georgia","19726",
"0500000US13083","Dade County, Georgia","15427",
"0500000US13085","Dawson County, Georgia","26690",
"0500000US13087","Decatur County, Georgia","28558",
"0500000US13089","DeKalb County, Georgia","753495",
"0500000US13091","Dodge County, Georgia","18238",
"0500000US13093","Dooly County, Georgia","9450",
"0500000US13095","Dougherty County, Georgia","82563",
"0500000US13097","Douglas County, Georgia","143373",
"0500000US13099","Early County, Georgia","10738",
"0500000US13101","Echols County, Georgia","3697",
"0500000US13103","Effingham County, Georgia","64441",
"0500000US13105","Elbert County, Georgia","19420",
"0500000US13107","Emanuel County, Georgia","21620",
"0500000US13109","Evans County, Georgia","10319",
"0500000US13111","Fannin County, Georgia","25190",
"0500000US13113","Fayette County, Georgia","118572",
"0500000US13115","Floyd County, Georgia","94160",
